Date,Locations affected,Number of positive employees,Number of positive students
6/28/2021,Bauder Elementary School,1,0
6/28/2021,Cross Bayou Elementary School,0,1
6/28/2021,East Lake High School,1,0
6/28/2021,Largo Middle School,1,0
6/28/2021,Pinellas Technical College St. Petersburg,0,1
6/21/2021,Countryside High School,0,1
6/21/2021,High Point Elementary School,0,1
6/21/2021,Northwest Elementary School,1,0
6/21/2021,Seminole High School,1,0
6/21/2021,Walter Pownall Service Center,1,0
6/14/2021,East Lake High School,0,1
6/14/2021,Walter Pownall Service Center,1,0
6/8/2021,Lealman Avenue Elementary School,0,1
6/7/2021,Bauder Elementary School,0,1
6/7/2021,Bay Point Elementary School,0,1
6/7/2021,East Lake High School,0,1
6/7/2021,Hollins High School,0,1
6/7/2021,Marjorie Rawlings Elementary School,0,1
6/7/2021,Pinellas Park Middle School,0,1
6/7/2021,Plumb Elementary School,0,1
6/7/2021,Safety Harbor Elementary School,0,1
6/7/2021,Shore Acres Elementary School,0,1
6/7/2021,Tyrone Middle School,0,1
6/4/2021,Clearwater Fundamental Middle School,0,1
6/4/2021,Dunedin High School,0,2
6/4/2021,Dunedin Highland Middle School,0,1
6/4/2021,Meadowlawn Middle School,0,1
6/3/2021,Azalea Middle School,0,1
6/3/2021,Hollins High School,0,1
6/3/2021,Sutherland Elementary School,0,1
6/2/2021,Shore Acres Elementary School,0,1
6/2/2021,Skyview Elementary School,0,1
6/1/2021,Azalea Middle School,1,0
6/1/2021,Bauder Elementary School,0,1
6/1/2021,Dunedin High School,0,5
6/1/2021,Dunedin Highland Middle School,0,1
6/1/2021,Gulfport Elementary School,1,0
6/1/2021,Hollins High School,0,1
6/1/2021,John Hopkins Middle School,0,1
6/1/2021,Largo Middle School,0,1
6/1/2021,Palm Harbor Middle School,0,1
6/1/2021,Ridgecrest Elementary School,0,1
6/1/2021,Safety Harbor Middle School,0,2
6/1/2021,St. Petersburg High School,0,1
6/1/2021,Tarpon Springs High School,1,0
5/28/2021,Boca Ciega High School,0,1
5/28/2021,Osceola Fundamental High School,0,1
5/28/2021,Palm Harbor Middle School,0,2
5/28/2021,Perkins Elementary School,0,1
5/28/2021,Pinellas Gulf Coast Academy,0,1
5/28/2021,Pinellas Park Middle School,0,1
5/28/2021,St. Petersburg High School,0,1
5/28/2021,Tarpon Springs High School,0,2
5/27/2021,Azalea Middle School,0,1
5/27/2021,Dunedin High School,0,1
5/27/2021,Hollins High School,0,1
5/27/2021,Maximo Elementary School,0,1
5/27/2021,Northwest Elementary School,1,0
5/27/2021,Palm Harbor Middle School,0,1
5/27/2021,Pinellas Park Middle School,0,1
5/26/2021,Bauder Elementary School,0,2
5/26/2021,Cypress Woods Elementary School,0,1
5/26/2021,Northeast High School,0,1
5/26/2021,Oldsmar Elementary School,0,1
5/26/2021,Osceola Middle School,0,1
5/26/2021,Sunset Hills Elementary School,0,1
5/25/2021,Boca Ciega High School,0,1
5/25/2021,Douglas Jamerson Elementary School,0,1
5/25/2021,Plumb Elementary School,0,1
5/25/2021,Skycrest Elementary School,0,1
5/24/2021,Clearwater Fundamental Middle School,0,1
5/24/2021,Eisenhower Elementary School,0,1
5/24/2021,Gulfport Elementary School,0,1
5/24/2021,Hollins High School,0,1
5/24/2021,Northeast High School,0,2
5/24/2021,Osceola Fundamental High School,0,1
5/24/2021,Pinellas Central Elementary School,0,1
5/24/2021,Starkey Elementary School,0,1
5/21/2021,Cross Bayou Elementary School,0,1
5/21/2021,Douglas Jamerson Elementary School,0,1
5/21/2021,Madeira Beach Fundamental,0,1
5/21/2021,Mildred Helms Elementary School,0,1
5/21/2021,Morgan Fitzgerald Middle School,1,0
5/21/2021,Northeast High School,0,1
5/21/2021,Richard O. Jacobson Technical High School,0,1
5/21/2021,Safety Harbor Middle School,0,1
5/21/2021,Seminole Elementary School,0,1
5/21/2021,St. Petersburg High School,0,1
5/21/2021,Sunset Hills Elementary School,1,0
5/21/2021,Thurgood Marshall Fundamental Middle School,0,1
5/20/2021,Administration Building,1,0
5/20/2021,Bay Point Elementary School,0,1
5/20/2021,Carwise Middle School,0,1
5/20/2021,Countryside High School,0,1
5/20/2021,Cross Bayou Elementary School,0,2
5/20/2021,East Lake Middle School,0,1
5/20/2021,Highland Lakes Elementary School,0,1
5/20/2021,Lealman Avenue Elementary School,0,1
5/20/2021,Pinellas Technical College St. Petersburg,1,0
5/20/2021,Seminole Elementary School,0,1
5/20/2021,Shore Acres Elementary School,0,1
5/19/2021,Boca Ciega High School,0,1
5/19/2021,Meadowlawn Middle School,0,1
