,Date,Locations affected,Number of positive employees,Number of positive students
0,2021/08/16,Administration Building,2,0
1,2021/08/16,Azalea Middle School,0,1
2,2021/08/16,Blanton Elementary School,2,0
3,2021/08/16,Calvin Hunsinger School,1,0
4,2021/08/16,Carwise Middle School,0,1
5,2021/08/16,Clearwater Fundamental Middle School,1,0
6,2021/08/16,Countryside High School,1,0
7,2021/08/16,Curlew Creek Elementary School,1,3
8,2021/08/16,Cypress Woods Elementary School,0,2
9,2021/08/16,Dunedin Elementary School,1,0
10,2021/08/16,East Lake High School,0,1
11,2021/08/16,East Lake Middle School,0,3
12,2021/08/16,Garrison-Jones Elementary School,0,1
13,2021/08/16,Gibbs High School,1,2
14,2021/08/16,Gulfport Elementary School,2,0
15,2021/08/16,High Point Elementary School,1,0
16,2021/08/16,Hollins High School,0,1
17,2021/08/16,John Hopkins Middle School,0,1
18,2021/08/16,Lakeview Fundamental Elementary School,1,0
19,2021/08/16,Largo High School,0,1
20,2021/08/16,Lealman Avenue Elementary School,0,1
21,2021/08/16,Madeira Beach Fundamental,0,1
22,2021/08/16,Melrose Elementary School,1,2
23,2021/08/16,Mount Vernon Elementary School,1,0
24,2021/08/16,North Shore Elementary School,1,0
25,2021/08/16,Oak Grove Middle School,1,2
26,2021/08/16,Osceola Fundamental High School,0,2
27,2021/08/16,Ozona Elementary School,0,4
28,2021/08/16,Pasadena Fundamental Elementary School,0,1
29,2021/08/16,Paul B. Stephens ESE Center,1,0
30,2021/08/16,Perkins Elementary School,0,2
31,2021/08/16,Pinellas Academy of Math and Science,1,0
32,2021/08/16,Pinellas Secondary School,1,0
33,2021/08/16,Plato Academy Clearwater,0,7
34,2021/08/16,Plato Academy Largo,0,3
35,2021/08/16,Plato Academy Pinellas Park,0,4
36,2021/08/16,Plato Academy Seminole,0,1
37,2021/08/16,Richard O. Jacobson Technical High School,0,1
38,2021/08/16,Safety Harbor Elementary School,1,1
39,2021/08/16,Seminole Elementary School,1,0
40,2021/08/16,Shore Acres Elementary School,0,2
41,2021/08/16,Skyview Elementary School,2,0
42,2021/08/16,Southern Oak Elementary School,1,0
43,2021/08/16,St. Petersburg High School,0,1
44,2021/08/16,Tarpon Springs Elementary School,1,0
45,2021/08/16,Tarpon Springs Fundamental Elementary School,0,2
46,2021/08/16,Tarpon Springs High School,1,0
47,2021/08/16,Tarpon Springs Middle School,1,0
48,2021/08/16,Tyrone Middle School,0,2
49,2021/08/16,Walter Pownall Service Center,2,0
50,2021/08/13,Academie Da Vinci,0,1
51,2021/08/13,Administration Building,1,0
52,2021/08/13,Athenian Academy,0,3
53,2021/08/13,Azalea Elementary School,0,2
54,2021/08/13,Bay Point Elementary School,0,1
55,2021/08/13,Boca Ciega High School,0,3
56,2021/08/13,Carwise Middle School,1,2
57,2021/08/13,Clearwater Fundamental Middle School,0,1
58,2021/08/13,Curlew Creek Elementary School,0,1
59,2021/08/13,Curtis Fundamental Elementary School,0,1
60,2021/08/13,Cypress Woods Elementary School,0,3
61,2021/08/13,Dunedin High School,0,1
62,2021/08/13,Fuguitt Elementary School,0,1
63,2021/08/13,High Point Elementary School,1,0
64,2021/08/13,Hollins High School,1,0
65,2021/08/13,Largo High School,0,1
66,2021/08/13,Lealman Innovation Academy,0,1
67,2021/08/13,Lynch Elementary School,1,0
68,2021/08/13,Madeira Beach Fundamental,0,1
69,2021/08/13,Midtown Academy,1,0
70,2021/08/13,Northeast High School,1,0
71,2021/08/13,Oakhurst Elementary School,0,2
72,2021/08/13,Osceola Fundamental High School,0,1
73,2021/08/13,Palm Harbor University High School,0,2
74,2021/08/13,Perkins Elementary School,0,1
75,2021/08/13,Pinellas Academy of Math and Science,7,0
76,2021/08/13,Pinellas Central Elementary School,1,0
77,2021/08/13,Pinellas Park High School,1,0
78,2021/08/13,Plato Academy Largo,3,7
79,2021/08/13,Plato Academy Palm Harbor,0,2
80,2021/08/13,Plato Academy Seminole,1,0
81,2021/08/13,Safety Harbor Elementary School,0,1
82,2021/08/13,Safety Harbor Middle School,1,0
83,2021/08/13,Sandy Lane Elementary School,0,2
84,2021/08/13,Seminole High School,1,2
85,2021/08/13,St. Petersburg High School,0,1
86,2021/08/13,Starkey Elementary School,0,1
87,2021/08/13,Sunset Hills Elementary School,0,1
88,2021/08/13,Tarpon Springs High School,0,1
89,2021/08/13,Thurgood Marshall Fundamental Middle School,0,1
90,2021/08/12,Administration Building,4,0
91,2021/08/12,Bay Point Elementary School,0,1
92,2021/08/12,Belcher Elementary School,1,2
93,2021/08/12,Boca Ciega High School,0,1
94,2021/08/12,Campbell Park Elementary School,1,0
95,2021/08/12,Clearwater Fundamental Middle School,0,3
96,2021/08/12,Clearwater High School,1,0
97,2021/08/12,Countryside High School,0,1
98,2021/08/12,Cross Bayou Elementary School,0,1
99,2021/08/12,Curtis Fundamental Elementary School,0,2
100,2021/08/12,Douglas Jamerson Elementary School,0,2
101,2021/08/12,Dunedin High School,0,4
102,2021/08/12,Dunedin Highland Middle School,1,4
103,2021/08/12,East Lake High School,0,1
104,2021/08/12,Eisenhower Elementary School,1,0
105,2021/08/12,Gulfport Elementary School,1,0
106,2021/08/12,James B. Sanderlin K-8,0,2
107,2021/08/12,Lake St. George Elementary School,0,2
108,2021/08/12,Lakewood High School,0,1
109,2021/08/12,Largo Middle School,0,2
110,2021/08/12,Leila Davis Elementary School,0,1
111,2021/08/12,Madeira Beach Fundamental,0,1
112,2021/08/12,McMullen-Booth Elementary School,1,1
113,2021/08/12,Melrose Elementary School,0,1
114,2021/08/12,Morgan Fitzgerald Middle School,0,1
115,2021/08/12,Nina Harris ESE,0,1
116,2021/08/12,Northwest Elementary School,0,2
117,2021/08/12,Oak Grove Middle School,0,3
118,2021/08/12,Oakhurst Elementary School,0,1
119,2021/08/12,Orange Grove Elementary School,0,5
120,2021/08/12,Osceola Fundamental High School,0,1
121,2021/08/12,Osceola Middle School,0,1
122,2021/08/12,Ozona Elementary School,0,1
123,2021/08/12,Palm Harbor Middle School,0,1
124,2021/08/12,Palm Harbor University High School,0,5
125,2021/08/12,Pasadena Fundamental Elementary School,0,1
126,2021/08/12,Paul B. Stephens ESE Center,1,2
127,2021/08/12,Perkins Elementary School,0,1
128,2021/08/12,Pinellas Park Elementary School,0,1
129,2021/08/12,Pinellas Park High School,0,1
130,2021/08/12,Plumb Elementary School,0,1
131,2021/08/12,Ponce de Leon Elementary School,0,1
132,2021/08/12,Richard L. Sanders School,1,0
133,2021/08/12,Richard O. Jacobson Technical High School,0,2
134,2021/08/12,Ridgecrest Elementary School,0,1
135,2021/08/12,Sandy Lane Elementary School,1,0
136,2021/08/12,Sawgrass Lake Elementary School,1,0
137,2021/08/12,Seventy-Fourth Street Elementary School,0,1
138,2021/08/12,Sexton Elementary School,1,0
139,2021/08/12,Shore Acres Elementary School,0,1
140,2021/08/12,Skyview Elementary School,0,2
141,2021/08/12,Southern Oak Elementary School,0,1
142,2021/08/12,Starkey Elementary School,0,3
143,2021/08/12,Sunset Hills Elementary School,0,1
144,2021/08/12,Tarpon Springs High School,1,0
145,2021/08/12,Tomlinson Adult Education Center,1,0
146,2021/08/12,Westgate Elementary School,1,0
147,2021/08/12,Woodlawn Elementary School,0,1
148,2021/08/11,Administration Building,1,0
149,2021/08/11,Anona Elementary School,0,1
150,2021/08/11,Azalea Middle School,1,0
151,2021/08/11,Bardmoor Elementary School,0,4
152,2021/08/11,Bay Point Elementary School,0,2
153,2021/08/11,Bay Point Middle School,1,0
154,2021/08/11,Bear Creek Elementary School,1,2
155,2021/08/11,Belcher Elementary School,0,1
156,2021/08/11,Brooker Creek Elementary School,1,1
157,2021/08/11,Carwise Middle School,1,0
158,2021/08/11,Countryside High School,0,3
159,2021/08/11,Dunedin High School,0,4
160,2021/08/11,Dunedin Highland Middle School,0,1
161,2021/08/11,East Lake High School,0,2
162,2021/08/11,Fairmount Park Elementary School,1,0
163,2021/08/11,Frontier Elementary School,0,2
164,2021/08/11,Fuguitt Elementary School,0,2
165,2021/08/11,Gibbs High School,0,1
166,2021/08/11,Gulfport Elementary School,3,0
167,2021/08/11,High Point Elementary School,1,0
168,2021/08/11,Highland Lakes Elementary School,0,1
169,2021/08/11,Hollins High School,0,1
170,2021/08/11,James B. Sanderlin K-8,0,1
171,2021/08/11,Kings Highway Elementary School,1,0
172,2021/08/11,Lakeview Fundamental Elementary School,1,0
173,2021/08/11,Lakewood Elementary School,1,0
174,2021/08/11,Lakewood High School,0,1
175,2021/08/11,Largo High School,3,3
176,2021/08/11,Lealman Avenue Elementary School,1,0
177,2021/08/11,Madeira Beach Fundamental,0,1
178,2021/08/11,Maximo Elementary School,1,0
