,Date,Locations affected,Number of positive employees,Number of positive students,Total cases
0,,,,,
1,,,,,
0,2021/08/16,Oak Grove Middle School,1.0,2.0,3.0
1,2021/08/16,Osceola Fundamental High School,0.0,2.0,2.0
2,2021/08/16,Ozona Elementary School,0.0,4.0,4.0
3,2021/08/16,Pasadena Fundamental Elementary School,0.0,1.0,1.0
4,2021/08/16,Paul B. Stephens ESE Center,1.0,0.0,1.0
5,2021/08/16,Perkins Elementary School,0.0,2.0,2.0
6,2021/08/16,Pinellas Academy of Math and Science,1.0,0.0,1.0
7,2021/08/16,Pinellas Secondary School,1.0,0.0,1.0
8,2021/08/16,Plato Academy Clearwater,0.0,7.0,7.0
9,2021/08/16,Plato Academy Largo,0.0,3.0,3.0
10,2021/08/16,Plato Academy Pinellas Park,0.0,4.0,4.0
11,2021/08/16,Plato Academy Seminole,0.0,1.0,1.0
12,2021/08/16,Richard O. Jacobson Technical High School,0.0,1.0,1.0
13,2021/08/16,Safety Harbor Elementary School,1.0,1.0,2.0
14,2021/08/16,Seminole Elementary School,1.0,0.0,1.0
15,2021/08/16,Shore Acres Elementary School,0.0,2.0,2.0
16,2021/08/16,Skyview Elementary School,2.0,0.0,2.0
17,2021/08/16,Southern Oak Elementary School,1.0,0.0,1.0
18,2021/08/16,St. Petersburg High School,0.0,1.0,1.0
19,2021/08/16,Tarpon Springs Elementary School,1.0,0.0,1.0
20,2021/08/16,Tarpon Springs Fundamental Elementary School,0.0,2.0,2.0
21,2021/08/16,Tarpon Springs High School,1.0,0.0,1.0
22,2021/08/16,Tarpon Springs Middle School,1.0,0.0,1.0
23,2021/08/16,Tyrone Middle School,0.0,2.0,2.0
24,2021/08/16,Walter Pownall Service Center,2.0,0.0,2.0
0,2021/08/13,Academie Da Vinci,0.0,1.0,1.0
1,2021/08/13,Administration Building,1.0,0.0,1.0
2,2021/08/13,Athenian Academy,0.0,3.0,3.0
3,2021/08/13,Azalea Elementary School,0.0,2.0,2.0
4,2021/08/13,Bay Point Elementary School,0.0,1.0,1.0
5,2021/08/13,Boca Ciega High School,0.0,3.0,3.0
6,2021/08/13,Carwise Middle School,1.0,2.0,3.0
7,2021/08/13,Clearwater Fundamental Middle School,0.0,1.0,1.0
8,2021/08/13,Curlew Creek Elementary School,0.0,1.0,1.0
9,2021/08/13,Curtis Fundamental Elementary School,0.0,1.0,1.0
10,2021/08/13,Cypress Woods Elementary School,0.0,3.0,3.0
11,2021/08/13,Dunedin High School,0.0,1.0,1.0
12,2021/08/13,Fuguitt Elementary School,0.0,1.0,1.0
13,2021/08/13,High Point Elementary School,1.0,0.0,1.0
14,2021/08/13,Hollins High School,1.0,0.0,1.0
15,2021/08/13,Largo High School,0.0,1.0,1.0
16,2021/08/13,Lealman Innovation Academy,0.0,1.0,1.0
17,2021/08/13,Lynch Elementary School,1.0,0.0,1.0
